,tweet
136,"warga jakarta bagian timur sepertinya banyak yang belom mencoba mrt, seperti saya. masih tetap bertahan dengan krl yg stasiunnya panas nye mantep. dikit lagi gue dikira cina benteng fixxxx."
137,"@rifanikunafir @d__rain_ @hajrahdouboegis @ayu02basuki @msapunya @rm_yusron @dewo_padi08 @individumerd @ullbimantb @hpurwanto231 @sindusindoro @imaukampe @jeffryalvaro86 jakarta ae, sekalian nyobain mrt, jakarta kan skrg udah kek di luar negeri, jd cakep ??????"
138,kereta api mrt jakarta pusat kartu mrt
139,"biar kekinian kayak anak-anak jakarta, bodjo juga gakmau ketinggalan buat nyobaik naik mrt jakarta nih! tapi kali ini, seru banget karna sambil nyanyi-nyanyi, wohooo~ nonton selengkapnya di: https://t.co/whmulciarb"
140,"honda menikmati dampak positif mrt https://t.co/gxgoozjvmo, jakarta   https://t.co/vzkqeypany"
141,"mrt lagi cuy
pokoknya skrng kalo disuruh dines diseputaran jakarta, kalo balik kantor kudu cari mrt. karena stasiun nya depan kantor"
142,@iovexpaint mungkin mau panas panasan di jakarta. cobain naik mrt di sini. makan rujak abang abang depan halte busway.
143,"jakarta opens an lrt line to go with its new mrt https://t.co/dkelwvnxgd i don't care how short the line is, any new public transport in traffic-hell jkt is cause for celebration :-)"
144,mrt jakarta mampu kurangi 5.600 kendaraan pribadi #infokrl #infomrt #infolrt #infocommuter https://t.co/rtbnzvzpi8 https://t.co/yepioiekyc
145,"pt mrt jakarta sudah mulai melakukan pembangunan infrastruktur angkutan transportasi berbasis rel moda raya terpadu (mrt) fase dua. proyek tersebut akan menyambungkan stasiun bundaran hotel indonesia (hi) jakarta pusat hingga kawasan kota tua, jakarta barat.? https://t.co/xljyzpxuam"
146,@natashazhn mending bandung jakarta pake mrt kalau udah jadi daripada kerumah doi.
147,"kesimpulan nya sih, mrt jakarta bener bener membuat wajah baru jakarta.

semoga pembangunan fase 2 mrt jakarta dilancarkan dan bisa semakin banyak lagi rute nya. 

semoga @mrtjakarta tetap selalu rapi dan bersih, buat temen2 yang mau naik mrt jangan lupa di jaga ya!"
148,"nah selain stasiun nya yang keren,mrt jakarta juga bikin suasana di sekitar stasiun jadi lebih rapih contoh nya gini, ini trotoar yang ada di stasiun benhil.

gua jadi penasaran gimana suasana di setiap stasiun mrt jakarta ya, baru di benhil aja gini apalagi yang di senayan dll. https://t.co/cwikpbc48l"
149,"abis nyoba mrt jakarta beberapa hari lalu, dan jujur gua sangat amaze dengan mrt jakarta, karena gara-gara mrt jadi lumayan merubah wajah jakarta gak kalah kayak negara2 tetangga.

nah ini hasil gua iseng cekrek cekrek keadaan mrt jakarta, cekidot. https://t.co/snjc8lsqlw"
150,bawa aku naik krl atau mrt abis itu keliling jakarta sampe kakiku capek dong
151,@wahhabicc_jabar @namaku_mei yang penting bisa lihat jakarta dan mrt
152,antara terima apresiasi atas pemberitaan masif mrt jakarta https://t.co/gsbh0xmoqf
153,semoga mrt jakarta bisa menjadi solusi bagi kemacetan ibu kota dan juga mampu berkontribusi utuk mengurangi polusi udara. kami siap berpartisipasi untuk #jakartakianbenderang ?? https://t.co/aqhw30votx
154,"pln berpartisipasi dalam menjaga segala kebutuhan listrik berkualitas layanan listrik premium baik selama proses membangun hingga beroperasinya mrt jakarta. apresiasi diberikan secara langsung oleh direktur utama mrt, william sabandar. https://t.co/9oobxzzbfz"
155,"acara tersebut ditujukan untuk mengapresiasi berbagai pihak atau mitra pendukung atas dukungannya sehingga mrt jakarta fase 1 sukses beroperasi. dalam kesempatan tersebut, pln juga dapet pengahargaan loh guys!"
156,"setelah akhirnya berhasil merealisasikan impian warga jakarta untuk memilki saran transportasi masal yang baru, mrt jakarta menggelar malam apresiasi mrt jakarta dan peringatan hut mrt jakarta ke-11 di hotel le meridien pada rabu, 19 juni 2019."
157,"uji coba lrt jakarta ????

setelah nyobain mrt bulan lalu, skr dibuka uji coba lrt gratis. mumpung ibu dari nganjuk ke jakarta makanya kita mau cobain lrt ini ????

uji coba lrt jakarta 11-22 juni 2019 gratis dg isi... https://t.co/dcrvxwblnc"
158,"jalan2 dijkt sekarang tambah nyaman, taman kota sudah tertata rapi, mrt sangat nyaman untuk mau nguber waktu, mari ciptakan linkungan jakarta yg kondusif, adil makmur untuk semua lapisan klau bukan kita siapa lagi, terimakasih gubenur @aniesbaswedan maju kotanya maju indonesia"
159,"2 hari lagi hut jakarta!
.
.
apa sih 3 hal yang paling dirindukan dari jakarta?
kalau irina.dewi mrt, layanan jasa online yang lengkap dan coffee shop #happymorning #fhnwithirina https://t.co/5ygfokodbq"
160,"@ustadchen jakarta bah, lumayan naek mrt"
161,"@ustadchen jakarta, ramai sampai macet mulu. senang. :) 

eh tapi sekarang udah ada mrt dooong."
162,"mrt disini ama di jakarta beda yak , disini rapih bener orang"
163,"@ayeghea belom terbiasa, stigma yang nempel masih jelek. mrt jakarta baru 1 line, line 2 baru proses perencanaan, generasi kita punya anak baru metro line jakarta kaya gitu wkwkwk"
164,"https://t.co/8x5s3gvnqn 
berapa lagi kerugian yang harus telan ? pembangunan mrt memang mahal tapi berjangka panjang. kalian setuju untuk dipercepat guys ?
#jakartaberketahanan #berita #kliping #mrt #jakarta"
