,tweet
45,jalan jalan jakarta selatan semenjak mrt emang menyenangkan
46,hi masuk subway trus naek mrt berasa kyk new york pas turun lebak bulus berasa pen tereak anjeeng jakarta jakarta
47,intrigued siot nak pi jakarta dgr macet mcm haremm seram nak pi member ramai je keje tidak_mrt tu dh convenient tu nak pi places of interest
48,seharian keliling jakarta mrt transjakarta copot kaki
49,ennichisai tp gasempet foto sono makannya jajanan carefour naek mrt rame bing bing gagal naek bis city tour ngantrinya banget makan lesehan deket stasiun jakarta kota kepala udah pusing tj kaki copot
50,embargo minyak mendorong tiongkok membangun infrastruktur kereta api super cepat kereta api super cepat mrt jakarta connect bye bye plane coffee cafe menu nasi goreng tulisan kedaulatan negara damai indah
51,surabaya bikin transportasi rel kayak lrt mrt ya susah duitnya lho lrt mrt jakarta aja udh berat banget pembiayaannya belum_tentu orang surabaya pakai harganya mahal
52,suasana berbeda stasiun mrt dukuh perayaan hut dki jakarta
53,nyoba mrt lrt bareng posisi gue jakarta timur nyari temen dripada belum_pernah nyoba armada
54,biang banjirnya jakarta trus semalem bilangny mrt pemersatu warga jakarta sbagai pemindah tubuh
55,jakarta aja wa blm mrt
56,kekacauan mengutuk habis habisan diakui ulang tahunnya jakarta
57,masi tidak_ngerti knp teknologi gate tap in tap out mrt jakarta jelek banget proses scan lambat error
58,kasian ndan belom liat jakarta udah mrt lrt monas menawan eeh
59,lrt jakarta daya angkutnya ringan memiliki lebar rel mrt mm mm terserah teken kontrak
60,wajah jakarta hadirnya mrt mass rapid transit hadir jakarta
61,jakarta skarang udah maju tidak_perlulah singapura jepang krena mrt rel terpadu menghubungi jalur jalur kota mengurangi macet rupiah tidak_lari kluar negeri
62,sedih gimana gitu udah naek mrt singapura giliran jakarta udah belum_pernah samsek
63,lihat jpo cantik trotoar pejalan kaki kece jakarta kota dunia berpihak pejalan kaki gua kemana enakan motor haha ok trip busway mrt lrt commuter line grab gojek integrasi ciamik sih
64,rindu banget dgn jakarta kemajemukannya rindu tj krl mrt jajan cilok cireng cimol makan ketoprak kerak telor dll ah jakarta kota rada sumpek tp ngangenin semoga maju dibawah kepemimpinan insyaa allah comeback soon
65,gw udah nyobain transportasi massal hk jepang singapur korea seneng bangga jakarta udah mrt kualitas sarana prasarana bagus
66,gue mrt tp lupa kalo ultah jakarta alhasil kejebak sampe jam
67,terimakasih amar menemani malam minggu gua nyobain mrt hbd jakarta maap telat
68,kerandoman pagi kosan bunderan hi training volunteer sampe jam siang kosan jam sore bunderan hi ngeliat acara ultah jakarta tj nyambung mrt disana jam sampe kosn krl
69,mrt jakarta bagus bgt
70,hut jakarta is amazyng mrt kereta hantu jam segini ruwwame untung bkn jombi isinya
71,pembelajaran kalo jakarta pake transportasi udah tau pulang jam jadwal transportasinya unpredictable an mrt haji nawi diputerin mamang grab mrt fatmawati
72,selamat ulang kotaku jakarta maju tertib indah mensejahterakan warganya jakarta asik mrt fasilitas terbuka olahraga nyaman warga
73,pantes stasiun mrt rame hut jakarta bundaran hi festival jepang jepangan meranoia istora ntap
74,jalan jalan mrt iseng mall hoping jakarta night festival hi hut jakarta bloonnya kirain cfd hehe
75,pengen jakarta pngen mrt
76,h lebaran kalinya nyobain mrt jakarta sempet stasiun mrt nya sepi sepi aja senayan kenyataannya didalam mrt penuh banget senayan blok m menit
77,pengen busway pengen mrt pengen cfd an pengen main planetarium ragunan rindu suasana jakarta tidak_pernah sepi
78,nyoba trans jakarta mrt lrt
79,tibe tibe warga jakarta budak budak mrt nih
80,warga pilih shalat mushalla mrt perayaan hut jakarta
81,selamat ulangtahunkota jakarta semoga permasalahan jakarta terselesaikantata kota pelayanan publik keamanan kota terjaga lrt mrt commuter line transportasi modern tsb mengurangi kemacetan
82,mrt keliling jakarta sampe subuh
83,selamat ulang jakarta semoga lelah ibukota indonesia terima kasih mrt nya jakarta
84,makasi ya pap udh book makeupbyath kl tidak_gue hr gaakan rumah makan kimukatsu beli bulu mata mrt merayakan ulang jakarta makan boba toast benedict
85,mrt pilihan perayaan hut jakarta menghindari macet
86,knp ya mrt jakarta skrg kyk bau kambing gt
87,heran deh mrt udah beroperasi ya orang orang jakarta mengular antri single trip ticket stasiun stasiun tidak_pada kartu e money bank dapetinnya gampang
88,berhubung hi tutup mrt n kalinya nyobain mr hi carr free night mlm mrt jakarta
89,tau tidak_malem rame tidak_sih mrt jakarta suasana terkini donggg thanks
90,selamat ulang jakarta kurangin rusuhnya keren lho mrt mantap teruskan
91,dapet voucher kereta hotel pesawat sampe busway mrt krl gratis ulang jakarta
92,mrt lrt ahok jokowi jakarta modern
93,warga jakarta berbondong bondong mengedukasi mrt
94,mo bkin ads trainee mrt jakarta hahahahaha ide nya adik jaman now ketawa gw bayanginnya
95,booth ngasih merchandise gratis booth mrt jakarta kipas pin stiker booth bank partner bni bri pembuatan kartu kredit foto sih kebanyakan bank haha
96,back to jakarta again kota beda kota senorak noraknnya pgn nyobain mrt kmrin disana blm
97,dirgahayu th jakarta jakarta jakarta pusat pemerintahan dibangun palangkaraya jakarta modern diacak acak dgn visi ng mrt menikmati moda transportasi lrt jabobek
98,naek mrt kota dirgahayu dki jakarta semoga terwujudnya wajah jakarta modern berbudaya luhur maju kotanya bahagia warganya
99,jakarta mrt perpusnas dufan kemana aja sampe tabunganku habis tidak_deng
100,nabilafira oooowww good luck yah adeknya fira moga keterima udah diajak keliling naek mrt belom kemaren org wisata jakarta nyobain mrt
101,dirgahayu thn dki jakarta jakarta mrt lrt terima kasih gubernur ahok btp
102,pgn jakarta mrt
103,nyobain mrt lrt tidak_perlu negeri tetangga dki jakarta
104,san mrt jakarta beroperasi normal
105,oh ya mrt jakarta kali diuntungkan kehadiran menerjang kemacetan telat janjian kali
106,hallo selamat siang mrt beroperasi stasiun bundaran hi sore perayaan ultah jakarta
107,dirgahayu kota jakarta transjakarta gratis neh mrt gratis gk ya
108,selamat berulang kota kelahiran ku momentku kemarin mrt hihi trimakasih pemimpin dki jakarta kota negara maju tahunnya
109,coba klo pacar uda gue ajakin muter muter museum jakarta mrt transjakarta gratisan malming prj kemayoran makan bedua uwoo mantap kali kaaan mantap kali khayalannya v
110,lahir sekolah kuliah kerja disana jaksel jakpus jakut jakbar hehe cm jaktim belum_tp tidak_ngerasain gojek mrt udah hmm pngen tinggal jkt lg sih tunggu ganti gubernur x ya aman nyaman ya jakarta
111,selamat ulang jakarta terimakasih transjakarta mrt gratisnya
112,okay gue tau mrt gratis ulang taun jakarta gue terlanjur janjian blue sekeluarga ok doain gue ya
113,selamat ulang kota senengnya transjakarta metrotrans gratiss lrt jg uji coba gratis mrt jg gratis tidak_ya malem jg jakarta night festival jantung kota so hv a blast wiken
114,mumpung jakarta mrt norak bat dah gua
115,mrt blom nyobaim lrt udah aja orang jakarta
116,transjakarta mumpung ultah jakarta usul min halte csw koridor dioperasikan kalo mrt tidak_perlu muter tendean blok m
117,ultah jakarta tidak_ada gratisan gitu transportasi kayak mrt transjakarta liburannya gubernur
118,fbb rec ngopi jakarta deket krl mrt sepi thanksss
119,oiya btw lrt jakarta tuh emang bener versi mrt eskalatornya muat orang
120,terima kasih bertambah referensi campur jakarta tombo kangen nyobain campurnya sayang kehabisan tek telur cepat lokasi stasiun mrt fatmawati exit c exit d
121,sksksk pengen nyoba mrt jakarta
122,pulang mrt xixi berasa nax jakarta sekaly
123,pemandangannya guys lt btw polusi ya kabut ayo pake transportasi warga jakarta udah enak transjakarta mrt lrt krl warga depok cant relate cr fotonya bagus pake hp koy
124,feelin this japan vibes already mrt jakarta penumpang menggunakannya rekreasi lol
125,ratusan orang padati stasiun mrt dukuh terowongan kendal menyaksikan parade drum band inggris uk millitary musicians memperingati hut kota jakarta sabtu bak
126,jakarta butuh penitipan sepeda stasiun mrt transjakarta
127,w bilang mak keliling jakarta naek mrt trs doi bolein trs w ntar kalo ilang gimana doi ngegas ngomong palingan jemput i mean wheres the lie maaf y mak anakmu teledor
128,bandung jakarta cuedek poll opomane maringene onok mrt hmm
129,nggak kayak mrt bunderan hi lebak bulus heboh nyobain gratis cenderung sepi lokasi klp gading tidak_familiar org jakarta weekdays aja isinya ya anaknya opa oma ajak jalan cucu
130,tidak_kesampaian taman safari pengen muterin jakarta aja keliling pake mrt kotu duduk jajan taman kali foto cerita lucu pengen banget sm pacar
131,mrt jakarta transportasi primadona orang jakarta jakarta sengaja pengalaman keluarga saudara teman tidak_mau ketinggalan
132,engeh pekerjaan proyek bikin macet jalan tol jakarta cikampek jalur tol layang kirain jalur mrt lrt wqwq
133,tunggu kalo mrt lrt dah didukung warga jakarta make fasilitas tsb klo gamau yaa tetep kota berpolusi sedunia
134,ulang taun dki jakarta mba klo mrt koo
135,nail mrt jakarta berasa turis kota pacar
136,warga jakarta timur belom mencoba mrt bertahan krl stasiunnya panas nye mantep dikit gue cina benteng fixxxx
137,rain yusron padi jakarta ae nyobain mrt jakarta skrg udah kek negeri jd cakep
138,kereta api mrt jakarta pusat kartu mrt
139,biar kekinian kayak anak anak jakarta bodjo gakmau ketinggalan nyobaik mrt jakarta nih kali seru banget karna nyanyi nyanyi wohooo nonton selengkapnya
140,honda menikmati dampak positif mrt jakarta
141,mrt cuy pokoknya skrng kalo disuruh dines diseputaran jakarta kalo kantor kudu cari mrt stasiun nya kantor
142,panas panasan jakarta cobain mrt makan rujak abang abang halte busway
143,jakarta opens an lrt line to go with its new mrt i don t care how short the line is any new public transport in traffic hell jkt is cause for celebration
144,mrt jakarta kurangi kendaraan pribadi
145,pt mrt jakarta pembangunan infrastruktur angkutan transportasi berbasis rel moda raya terpadu mrt fase proyek menyambungkan stasiun bundaran hotel indonesia hi jakarta pusat kawasan kota tua jakarta barat
146,mending bandung jakarta pake mrt udah kerumah doi
147,kesimpulan nya sih mrt jakarta bener bener wajah jakarta semoga pembangunan fase mrt jakarta dilancarkan rute nya semoga rapi bersih temen mrt lupa jaga ya
148,stasiun nya keren mrt jakarta bikin suasana stasiun rapih contoh nya gini trotoar stasiun benhil gua penasaran gimana suasana stasiun mrt jakarta ya benhil aja gini senayan dll
149,abis nyoba mrt jakarta jujur gua amaze mrt jakarta gara gara mrt lumayan merubah wajah jakarta tidak_kalah kayak negara tetangga hasil gua iseng cekrek cekrek mrt jakarta cekidot
150,bawa krl mrt abis keliling jakarta sampe kakiku capek
151,jabar mei lihat jakarta mrt
152,terima apresiasi pemberitaan masif mrt jakarta
153,semoga mrt jakarta solusi kemacetan kota berkontribusi utuk mengurangi polusi udara berpartisipasi
154,pln berpartisipasi menjaga kebutuhan listrik berkualitas layanan listrik premium proses membangun beroperasinya mrt jakarta apresiasi langsung direktur utama mrt william sabandar
155,acara mengapresiasi mitra pendukung dukungannya mrt jakarta fase sukses beroperasi kesempatan pln dapet pengahargaan loh guys
156,berhasil merealisasikan impian warga jakarta memilki saran transportasi masal mrt jakarta menggelar malam apresiasi mrt jakarta peringatan hut mrt jakarta hotel le meridien rabu juni
157,uji coba lrt jakarta nyobain mrt skr dibuka uji coba lrt gratis mumpung nganjuk jakarta cobain lrt uji coba lrt jakarta juni gratis dg isi
158,jalan dijkt nyaman taman kota tertata rapi mrt nyaman nguber mari ciptakan linkungan jakarta kondusif adil makmur lapisan klau terimakasih gubenur maju kotanya maju indonesia
159,hut jakarta sih dirindukan jakarta irina dewi mrt layanan jasa online lengkap coffee shop
160,jakarta bah lumayan naek mrt
161,jakarta ramai macet mulu senang eh udah mrt dooong
162,mrt ama jakarta beda yak rapih bener orang
163,belom terbiasa stigma nempel jelek mrt jakarta line line proses perencanaan generasi anak metro line jakarta kaya gitu wkwkwk
164,kerugian telan pembangunan mrt mahal berjangka setuju dipercepat guys
165,sctv indosiar penghargaan pt mrt jakarta terkait pemberitaan mrt penghargaan apresiasi media berperan memajukan transportasi jakarta
166,keren haha coba mrt jakarta kyk gini yak heu
167,mrt jakarta gandeng kpk proyek fase dikawal
168,cegah korupsi mrt jakarta gandeng kpk awasi proyek fase
169,mrt jakarta apresiasi stakeholder media
170,nyoba mrt ma pacar jakarta
171,pagi mrt lebak bulus bundaranhi penuh kelas middle up mrt berangkat kerja berhasil mengurangi pemakaian mobil jakarta
172,cegah korupsi mrt jakarta gandeng kpk awasi proyek fase
173,gubenur dki jakarta anies baswedan moda raya terpadu mrt salah tulang punggung pilar penyambung moda transportasi kota
174,berkontribusi mengurangi macet jakarta membiasakan transportasi publik transjakarta commuterline mrt lrt yuk transportasi publik
175,mrt jakarta kurangi kendaraan pribadi perbaikan layanan transportasi
176,bully nyinyirin anies prestasi main jakarta busway mrt lrt silakan ha
177,jakarta explorer stasiun mrt senayan terdekat transjakarta
178,transjakarta jakarta explorer mrt station terdekat ya
179,ayo pacaran ngapunya motor keliling jakarta mrt
180,mrt jakarta apresiasi pemangku kepentingan
181,lokasi nya museum tekstil jakarta went there by tj tangerang pake mrt sampe bundaran hi sampe bundaran hi pake gocar cuman k museum nya
182,meraih apresiasi pemberitaan masif mrt jakarta
183,pengguna mrt lampaui target anies berharap jakarta tidak_lagi macet
184,mrt jakarta apresiasi pemangku kepentingan
185,mama kalo cari aman bagus adek unhas aja ya pa bapa iiiyaa gapapasih megang mrt jakarta teknik sipil unhas ya gitu jarang cewe cantik ya de hehehehe ketawa gede gua dalem hati inii hahahahaha
186,raih apresiasi pemberitaan masif mrt jakarta
187,yuk dengarkan pesan dirut mrt jakarta william sabandar pendengar radio elshinta fam
188,jakarta gue nyoba mrt
189,bertepatan hut pt mrt jakarta mengadakan malam apresiasi stakeholders pembangunan mrt jakarta fase lebak bulus bundaran hi digelar hotel le meridien jakarta rabu malam fam
190,malam apresiasi mrt jakarta
191,hhhmm pdhl mrt jakarta hasil utang jg loh g dikritik yaa ups sejunjungan
192,dirut mrtjakarta william sabandar plakat apresiasi radio elshinta kontribusi pembangunan mrt jakarta fase lebak bulus bundaran hi acara malam apresiasi mrt jakarta le meridien jakarta rabu malam ale aniesbaswedan
193,sekretaris kota jakarta barat eldi andi menghadiri malam apresiasi mrt jakarta dibuka gubernur provinsi dki jakarta anies baswedan sasono mulyo ballroom le meridien jakarta
194,bangga mendukung mrt jkt lancar jaya terpuji jpnambsindonesia jenaka le meridien jakarta
195,transjakarta infonya bus tj rwmangun halte dukuh lngsung akses mrt jakarta kah belum_
196,pls bgdddd mrt bandung jakarta harapan qtaahhhh
197,diskon ongkos mrt dicabut penumpang rame aja lho sampe
198,jujur tidak_kapok transportasi publik lg seharian pulang pergi mrt metrotrans pedestrian walk nya nyaman hehe suka jakarta
199,mrt udh lrt udh kereta cepat jakarta bandung gada mw kereta cepat kalideres sudirman
200,fase mrt jakarta ditargetkan rampung
201,nih mo ngingetin klo mesin otomatis stasiun mrt dimanfaatkan lho
202,kereta api kartu mrt jakarta pusat tanggal
203,ibukota pindah lrt mrt toll listrik dicabut jakarta
204,jakarta panas adem didalam mrt
205,hoy ang ganda ng mrt ng jakarta grabeeeee very singapore style kasi may pa gate kineso pa bago yung mismong train hahahahaha
206,dinas tata kota jakarta tersayang tolong pedestrian stasiun mrt istora senayan dikasih penghijauan aspal aja panas orang orang jalan disana kepanasan tidak_ada melindungi berjalan
207,kalo jakarta main rm nusa indah jl ahmad dahlan mrt blok m beruntung kiriman bolu meranti nyempil
208,rencana pembangunan global sdgs masuk pembangunan nasional salah satunya keberhasilan jakarta memperbaiki sistem transportasi massal mrt mengurangi macet kebijakan ganjil genap setuju
209,viral bau mrt jakarta tidak_enak bau ac campur keringet rang orang bau gerbongnya udara dr ac central baunya mrt singapore
210,busway lrt mrt i love jakarta
211,kerja jakarta indoor tidak_seburuk gue bayangkan terbantu mrt tj transportasi kalo motor mah gue mikir kali kerja jakarta macet parah
212,mrt kurangi penggunaan kendaraan pribadi
213,mrt diprediksi kurangi kendaraan pribadi
214,id hai kak kartu uang elektronik layanan mrt jakarta jaklingko e money brizzi tap cash flazz jakcard terima kasih
215,mrt aja belom cobain lrt duluan lrt bahan keributan fakta gw lrt jakarta beda lrt cibubur cawang kupikir
216,ntar pajak kendaraan bermotor dinaikin protes harga bahan bakar dinaikin protes biar pengguna kendaraan pribadi berkurang biar pakai angkutan kota udah trans jakarta mrt dll
217,melihatmu kejauhan
218,malam ngobrol bareng alumni smk negeri samarinda jakarta mrt bundaran hi istora merdeka wisata kuliner sate tai chan senayan semoga
219,belom nyoba mrt jakarta dr kantor tinggal ngesot giliran dicari mrt maklum taxi nya mahal jiwa qismeen tidak_jauh dr hitung menghitung
220,penumpang mrt jakarta ni gayanya ketaker kaya nasi berkat
221,ya gua lrt and mrt pepes presto because yaa emang populasi jakarta udah kebanyakan bangettt overload gtu wkwk
222,mrt klaim kurangi kendaraan pribadi jakarta
223,panduan mrt bikin traveler
224,dor mrt jakarta pake kartu single trip sistemnya kayak kartu thb commuter line tidak_sih rep ak hehe
225,mrt jakarta belum_optimal integrasi moda transportasi minim dki jakarta jakarta dki jakarta
226,jakarta udah sembuh sejam kantor sampe st sudirman ku mual ku muntah yawlaaaa tau gini mrt
227,mrt miniatur jakarta
228,yup mrt terbukti mengurangi kemacetan jakarta mrt beroperasi penelitian tomtom
229,pt mass rapid transit jakarta mrt processing data intern if you can operate microsoft office and do the data entry you can join in processing data with month experience in mrt jakarta more details can be obtained at
230,lebaran kemaren sengaja jakarta seminggu cobain angkutan bajaj krl busway mrt senang knpa tidak_nemu gratis yak
231,flap gate scanner gate mrt jakarta so problematic ya singapura malaysia tidak_gitu
232,excited nervous bersamaan gasabar nonton cuii bgt udah megang tiket maunya cepetan nyoba mrt kalinya wkwk gimana sih nih orang jakarta nyoba huhu
233,alhamdulillah it s mrt indonesia stasiun blok m mrt jakarta
234,minggu kemarin mrt jakarta gue beli kartu single trip vending machine kembaliannya uang koin
235,mrt jakarta dutch roll nya minim ya tidak_kerasa
236,hai kak mohon maaf kartu tapcash menyatu ktm tidak_berfungsi layanan mrt jakarta terima kasih
237,halo sobat keliling jakarta tidak_usah pusing kereta aja kehadiran krl mrt lrt memudahkan mobilitas warga jakarta
238,depo listrik mrt fase ii kunjung dibangun penjelasan pln rt jakarta men
239,relnya mengandung listrik ges beda mrt krl pake listrik aliran rel kalo doi pake listrik aliran sushi hiro in jakarta utara dki jakarta
240,seneng deh skrg gue main apapun jakarta kerumah dgn mudah mrt tidak_lagi kena debu asep jalanan hehe
241,mrt jakarta pengen perjuangannya artikel ngasih info timeline pembangunannya perusahaannya
242,pratama jakarta dibangun mrt lrt kereta cepat dll china dana t pemindahan ibukota
243,first ever jakarta mrt experience it was a pleasant journey
244,mimin izin kebijakan kartu multi trip commuter line jabodetabek mrt jakarta terimakasih
245,tergamau mrt kalo gaada tujuannya for the first time kesempatan mengharuskan mrt terharu bgt jakarta
246,mrt lrt orang jakarta udah nyampe jakarta butuh moda transportasi kota kalo commuter line jabodetabek udah melintas akap
247,perawatan jam operasional sd coba pelajari pt mrt jakarta
248,etiket dipelajari penumpang mrt jakarta berdiri pintu masuk kereta masuklah menghalangi orang
249,hai kak mrt jakarta beroperasi normal rute stasiun lebak bulus grab bundaran hi terima kasih
250,kemacetan jakarta menurun mrt cs tingkat kemacetan jakarta menurun
251,sih palembang tidak_diminati ya tidak_tau daerah sih kalo jakarta kerja motor mobil berangkat jam pagi tidak_kena macet jalan memilih krl mrt
252,udh neng jakarta blm nyobain mrt hiks sedi
253,ih dodol ahahaha ydah tidak_papa kalo berjodoh mutual hang out yah tidak_le thailand deket aja jakarta blm nyoba mrt jakarta
254,penasaran dibayar lunas kagak pake dicicil naek mrt nih keren banget sih berasa negeri
255,gue td lo ngetik betah duduk mrt jakarta ya monmaap barti jakartanya sejuk ac nya aja bikin masuk angin ehe
256,jakarta krl mrt lrt nagara hss jukung sudur bagandingan nagara panen semangka eh berwisata semangka sumber boernot follow habargawian
257,perasaan sih dibawah juta hidup layak jakarta dg kost kamar mandi tidak_pakai ac masak public transport tj krl mrt tidak_sering mall versi menikmati hidup
258,mrt jakarta gaada tv gini yah
259,jakarta malem lumayan sejuk angin semilir betah duduk pinggiran stesyen mrt dukuh
260,cobain mrt jakarta
261,berharap kedepannya warga jakarta transportasi publik dibanding kendaraan pribadi semenjak asian games jalur pedestrian diperbaiki biar pejalan kaki nyaman pedestrian dideket stasiun mrt udah rapi enak bgt
262,uji publik lrt yeay emang sebenernya rumah velodrome segi kebersihan sampe ketepatan kedatangan gabeda dr mrt petugasnya ramah ramah bersih banget cinta jakarta seisinya bedanya cmn gerbongnya aja
263,enak mrt jakarta tube london
264,mrt gelora karno senayan jakarta indonesia
265,pake transjak gbk khalid ngerasain mrt slipi jaya jakarta barat
266,mrt jakarta trying the jakarta mrt couple months ago and i was so excited finally we have new public transportation in jakarta it will be much easier for commuters to travel around jakarta
267,ngampus pulang rumah ganti baju olahraga cabut bundaran hi mrt jakarta gbk my daily routine lupa sempetin olahraga
268,hai kak mrt jakarta beroperasi terima kasih
269,muh hai kak kartu brizzi mrt jakarta terima kasih
270,public trial lrt tidak_terlalu hype beda bgt public trial mrt lokasinya jakarta timur hmmm
271,menjajal ratangga mrt jakarta beroperasi maret moda transportasi masal berbasis kereta listrik mengadopsi desain teknologi jepang nilai proyek rp t berasal pinjaman
272,selamat sore monggo ditonton trip report keren mencoba review mrt jakarta bundaran hi lebak bulus
273,i m at stasiun mrt senayan in jakarta selatan dki jakarta
274,ngedate alam teh jakarta dimana ya gue aja liat gunung pas stasiun fatmawti pas mrt senengnya main
275,mawar jakarta yok melati ngapain mawar nyoba mrt liat monas melati mung ngono tok mawar yo iyo to lha ngopo meneh melati somplakmu mbok dikurangi wis tuo barang mawar wkwkwk
276,mrt jakarta tidak_kalah naikin singapur trnyata
277,tidak_ke pusat jakarta tidak_naik transportasi tidak_jalan jalan jakarta bolak kantor kosan menit jalan kaki kangen krl busway eh mrt
278,mrt lrt macet jakarta terkendali
279,sayang bgt mrt jakarta gila mempersingkat gue
280,angkot trans jakarta krl mrt yuhu list jalan jalannya terpenuhi terima kasih jakarta menyukai kotamu
281,pengen bgt jakarta main dufan jalan kaki disepanjang scbd main kotu mrt dr hi ampe lebak bulus trs turun blok m muter krl sm busway jajan daerah tebet huhu
282,pulang semarang ngejarnya transjakarta lebak bulus tp jalurnya muter yatuhan kedoya mrt tinggal naek tujuan mahal dikit pilihan tidak_harus pusing muter muter tije sayang jakarta
283,trimakasih menghapus larangan kendaraan roda tamrin ojol btw jakarta mrt trans jakarta jak lingko terintegrasi mengatasi kemacetan gagal move on
284,gua suka banget sm jakarta gua orang jakarta gatau seneng aja liat gedung ditambah afa mrt lalang so beautiful ayo nder coba jakarta suka dehh dijamin
285,pgn bubur johnny fatmawati tp udh gatau kemana skrg gara kegusur pembuatan mrt bubur terenak jakarta huhu
286,biar warga nya sehat jalan kaki kalo kebanyakan macet nya warga biar pake angkutan jakarta canggih canggih mrt lrt brt prt art
287,norak ngaku anak betawi kali mrt ya gini deh rada norak biarin deh jakarta oke berkat pemimpin ok terima kasih
288,nama resminya ratangga akrab mrt moda transportasi anyar berbasis rel hadir fenomenal masyarakat jakarta kecepatan kenyamanan ketepatan tempuh andalan belum_pernah mencoba
289,ojol mbak kuuh mrt krl trans jakarta giih
290,transjakarta wkwkw iya kanda aslinya belon mrt suka jalan kaki menyusuri trotoar kota jakarta nyaman
291,valid tidak_tapi namanya operasi ya dibenahi ya operasional mrt jakarta menyenangkan disayangkan tapping machinenya jelek bgt sistemnya hi
