,tweet
19, yang paling aku sukai dari jakarta adalah makanan khasnya ada kerak telor soto betawi asinan betawi taoge goreng dll tugu monas masjid istiqlal yang ter besar di asean dan juga sekarang ada lrt mrt dan bus transjakarta apalagi sekarang banyak taman taman di jakarta 
20, yg saya sukai dari jakarta saat ini adalah mrt nya yg baru diresmikan dan juga monasnya yg sudah kelihatan rapi dan bersih 
21,semoga mrt jakarta yang skrg ini udah bagus semakin bagus kedepannya jangan tbtb jadi kaya transjkt yg kadang suka gajelas bikin bingung penumpang nya teh kudu naonnnnn
22, darama lebih enak naik mrt aja ke blok a kalo dari luar jakarta atau tidak_naik krl turun di st sudirman nanti lanjut mrt ke arah lebak bulus 
23,siti badriah bangga mrt ada di jakarta 
24,kalo lagi jalan seneng gitu jalan di trotoarnya bagus banyak orang lain juga jalan naik mrt kaya keren banget seneng di jakarta udah ada mrt bentar lagi lrt semoga bisa segera ke kota lain biar lebih gampang ke jakarta kalo kaga pake mobil biar gw kaga males 
25,coba liat video lrt mrt di youtube keren pas gw ke jakarta naik mrt pas uji coba bagus trotoarnya rapi dulu pas ke sekolah naik tj trotoarnya lebih bagus dari sisi lain jakarta sih cuma lebih rapi sekarang dan sampahnya juga lebih sedikit wkwkwk
26,makanya karena mereka belajar balik dari jakarta mereka punya proyek reaktivasi jalur trem jadi standar commline dan pembangunan metro mrt
27, sekarang jakarta makin maju dan transportasi makin lengkap apalagi sekarang punya mrt dan semakin tidak_mau kalah dari negara lain
28,cobain rasanya naik mrt jakarta transportasi murah cepat aman nih guys 
29,enak ya tinggal di jakarta bisa naik mrt 
30,glenn fredly dan tompi hibur penumpang mrt di stasiun bundaran hi jakarta 
31,the highest mrt jakarta station on the ground ini stasiun mrt tinggi bat coy turun naiknya bisa pegel dah pasti wkwk stasiunnya letaknya di atas jalan tol dan disini kalo pagi pagi kita bisa ngeliat matahari terbit yang indah cobain deh kesini wkwk 
32, ohhh begitu enak lah naik mrt terus jakarta mana boy
33,gua juga sedih min temen temen the jak yg laen gabisa dateng juga untuk nonton langsung match ini gua juga rindu persib maen di gbk tapi dia sombong skrng gamau maen di gbk padahal jakarta uda ada mrt sama lrt wkwk 
34,mrt jakarta ketepatan waktunya mencapai persen 
35,pengen naik mrt jakarta
36,udah yg ada dulu disempurnain jalur lrt melingkari jakarta mrt dr timur ke selatan tambah di kota besar kayak surabaya belom lagi daerah wisata 
37,pencapaian jumlah penumpang itu menjadi tertinggi sejak diberlakukan tarif normal 
38,capek muter di blok m terus makan lanjut naik mrt ke arah senayan sampai di senayan baru anak saya bilang nah ini jakarta dan kami semua pun tertawa terbahak bahak 
39,jarang berani mengatur meeting di tempat di jakarta dalam sehari tapi karena semua lokasi dekat jalur mrt jadi berani 
40,pakai cara baru sekarang kalau harus terbang khususnya di hari kerja saat lalu lintas jakarta tidak_kenal waktu macet maka dari rumah diantar motor ke senayan dekat menitan mrt krl bandara mutar tapi nyaman dan tidak_terpengaruh lalu lintas 
41,transportasi yang ada di dki jakarta dinilai sudah cukup lengkap mulai dari mikrolet bus transjakarta krl hingga mrt 
42,keren banget ya jakarta skrg mrt lrt bus listrik 
43,jakarta punya mrt siti badriah dulu cuma lihat di luar negeri 
44,seneng juga sih ngeliat perkembangan jakarta dulu jaman sma sering ke terminal blok m buat naik dan ituu ya agak buruk sih sekarang bnr udah deket stasiun mrt jadi fancy dan metromini juga udah jadi minitrans yang harusnya supirnya less ugal an 
45,jalan jalan di jakarta selatan semenjak ada mrt emang jadi lebih menyenangkan 
46,dari hi masuk subway trus naek mrt berasa kyk new york pas turun di lebak bulus berasa pen tereak anjeeng jakarta lagi jakarta lagi 
47, intrigued siot nak pi jakarta tapi dgr macet mcm haremm aku seram nak pi member ramai je keje sana tidak_mrt dia tu dh siap kan convenient tak naik tu nak pi places of interest 
48,seharian keliling jakarta dengan mrt dan transjakarta rasanya ingin copot kaki saja
49,ke ennichisai tp gasempet foto jauh ke sono tapi makannya jajanan carefour naek mrt yg rame bing bing gagal naek bis city tour karena ngantrinya panjang banget akhirnya kami makan lesehan di deket stasiun jakarta kota kepala udah pusing karena tj dan kaki mau copot 
50,embargo minyak akan mendorong tiongkok membangun infrastruktur dan kereta api super cepat kereta api super cepat dan mrt jakarta connect maka bye bye plane jadi coffee cafe menu nasi goreng ada tulisan ini menyangkut kedaulatan negara damai itu indah 
51,kalau toh surabaya mau bikin transportasi rel kayak lrt mrt ya susah juga duitnya itu lho lrt mrt di jakarta aja udh berat banget pembiayaannya dan toh kalaupun jadi belum_tentu orang surabaya mau pakai mengingat harganya bakal mahal 
52,ada suasana berbeda di stasiun mrt dukuh atas saat perayaan hut dki jakarta ke 
53,ada yg mau ikut nyoba mrt lrt bareng posisi gue di jakarta timur nyari temen dripada sendirian soalnya belum_pernah nyoba armada baru itu
54, katanya dulu ini biang banjirnya jakarta trus semalem bilangny mrt pemersatu warga jakarta bukan cuma sbagai pemindah tubuh ke tempat lain 
55, ke jakarta aja wa blm pernah naik mrt
56,walau tentu saja masih banyak kekacauan di sana sini yg membuat kita mengutuk habis habisan harus diakui pada ulang tahunnya yang ke ini jakarta sudah tak sama lagi 
57,masi tidak_ngerti knp teknologi yg digunakan di gate tap in tap out mrt jakarta jelek banget proses scan lambat sering error pula 
58, kasian ndan mereka belom liat jakarta yang baru yg udah ada mrt lrt monas makin menawan eeh
59,lrt jakarta yang seharusnya lebih kecil dan daya angkutnya lebih ringan memiliki lebar rel yang lebih besar daripada mrt mm mm semua terserah yang teken kontrak 
60,wajah baru jakarta adalah dengan hadirnya mrt mass rapid transit yg telah hadir di jakarta 
61,jakarta skarang udah maju tidak_perlulah kita ke singapura atau jepang krena kini ada mrt dengan rel terpadu menghubungi jalur jalur di kota mengurangi macet dan rupiah tidak_lari kluar negeri 
62,kok rasanya agak sedih gimana gitu udah pernah naek mrt di singapura giliran jakarta udah punya malah belum_pernah naik samsek 
63,lihat jpo semakin cantik trotoar buat pejalan kaki semakin kece jakarta sekarang tampaknya sudah seperti kota dunia yg berpihak kepada pejalan kaki walau gua kemana enakan naik motor haha ok trip busway mrt lrt commuter line grab gojek integrasi yg ciamik sih 
64,rindu banget dgn jakarta dan segala kemajemukannya rindu tiap hari naik tj krl mrt jajan cilok cireng cimol makan ketoprak kerak telor dll ah jakarta kota yg rada sumpek tp ngangenin semoga tambah maju dibawah kepemimpinan pak insyaa allah comeback soon 
65,buat gw yang udah pernah nyobain transportasi massal di hk jepang singapur dan korea seneng dan bangga jakarta udah punya mrt kualitas sarana dan prasarana bagus tepat waktu tapi 
66,jadi hari ini gue naik mrt tp lupa kalo hari ini ultah jakarta alhasil kejebak sampe jam 
67,terimakasih dan amar sudah mau menemani malam minggu gua dan nyobain mrt hbd jakarta maap telat 
68,kerandoman hari ini pagi tadi dari kosan ke bunderan hi buat ikut training volunteer sampe jam siang terus balik lagi ke kosan jam sore ke bunderan hi lagi buat ngeliat acara ultah jakarta naik tj terus nyambung mrt disana dari jam sampe terus ke kosn lagi naik krl 
69,mrt jakarta bagus bgt 
70,hut jakarta is amazyng mrt yg biasanya macam kereta hantu jam segini tiba ruwwame untung bkn jombi isinya 
71,pembelajaran hari ini kalo di jakarta dan pake transportasi umum udah harus tau pulang jam berapa dan jadwal semua transportasinya terus harus siap siap ke unpredictable an seperti mau ke mrt haji nawi malah diputerin sama mamang grab ke mrt fatmawati 
72,selamat ulang tahun kotaku jakarta yang ke semakin maju tertib indah dan mensejahterakan warganya jakarta yang semakin asik dengan mrt fasilitas umum tempat terbuka tempat olahraga yang nyaman membuat warga 
73,pantes stasiun mrt rame ada hut jakarta di bundaran hi festival jepang jepangan dan meranoia di istora ntap 
74,tadi jalan jalan naik mrt iseng mau mall hoping ternyata ada jakarta night festival di hi buat hut jakarta dengan bloonnya kirain cfd hehe 
75,pengen ke jakarta pngen naik mrt 
76, h lebaran pertama kalinya nyobain mrt di jakarta karena baru sempet di stasiun mrt nya sepi sepi aja dari senayan tapi kenyataannya didalam mrt penuh banget senayan blok m cuma menit 
77,pengen naik busway pengen naik mrt pengen cfd an lagi pengen main ke planetarium sama ragunan juga dong rindu sekali sama suasana jakarta yg tidak_pernah sepi
78,belum pernah nyoba trans jakarta mrt lrt baru 
79, tibe tibe jadi warga jakarta budak budak mrt nih
80,warga pilih shalat di mushalla mrt saat perayaan hut jakarta 
81,selamat ulangtahunkota jakarta ke semoga semua permasalahan jakarta segera terselesaikantata kota serta pelayanan publik lebih baik keamanan kota tetap terjaga dan lrt mrt dan commuter line transportasi modern tsb bisa mengurangi kemacetan 
82, naik mrt keliling jakarta sampe subuh
83,selamat ulang jakarta semoga tak pernah lelah menjadi ibukota indonesia dan terima kasih untuk mrt nya jakarta 
84,makasi ya pap udh book makeupbyath kl tidak_gue hr ini gaakan keluar rumah makan kimukatsu beli bulu mata naik mrt merayakan ulang tahun jakarta dan makan boba toast benedict 
85,mrt jadi pilihan ke tempat perayaan hut jakarta untuk menghindari macet 
86,knp ya mrt jakarta skrg kyk bau kambing gt 
87,heran deh ini mrt kan udah kira kira bulan lebih beroperasi ya kenapa orang orang jakarta masih pada mengular antri single trip ticket di stasiun stasiun kenapa tidak_pada punya kartu e money dari bank yang cara dapetinnya gampang 
88,berhubung hi di tutup akhirnya naik mrt n untuk pertama kalinya nyobain mr di hi bisa carr free night mlm ini mrt jakarta 
89,ada yang tau tidak_malem ini rame tidak_sih mrt jakarta suasana terkini donggg thanks
90,selamat ulang tahun jakarta kurang kurangin rusuhnya keren lho akhirnya kamu punya mrt mantap teruskan 
91,dapet voucher kereta hotel sama pesawat terus sampe sini busway mrt krl lagi gratis karena ulang tahun jakarta 
92, mrt dan lrt ahok dan jokowi buat jakarta baru makin modern
93,warga jakarta berbondong bondong mengedukasi diri naik mrt 
94,mo bkin ads trainee di mrt jakarta hahahahaha ide nya adik jaman now luar biasa ketawa gw bayanginnya 
95, ada beberapa booth yang ngasih merchandise gratis misal booth mrt jakarta kipas pin stiker dan booth bank partner bni bri untuk pembuatan kartu kredit yang di foto ini sih kebanyakan dari bank haha
96,back to jakarta again kota yg paling beda sama kota lain senorak noraknnya pgn nyobain mrt kmrin waktu disana blm jadi
97,dirgahayu th jakarta jakarta akan tetap jakarta walaupun pusat pemerintahan baru nanti dibangun di palangkaraya jakarta hari ini sudah jauh lebih modern asal jangan diacak acak dgn visi yg ng jelas setelah mrt tak lama lagi akan menikmati moda transportasi lrt jabobek 
98, naek mrt ke tengah kota dirgahayu dki jakarta semoga terwujudnya wajah baru jakarta yang modern dan berbudaya luhur maju kotanya bahagia warganya 
99,balik ke jakarta harus naik mrt ke perpusnas ke dufan kemana aja sampe tabunganku habis tidak_deng 
100, nabilafira oooowww good luck yah adeknya fira moga keterima udah diajak keliling naek mrt belom dari kemaren banyak org wisata ke jakarta buat nyobain naik mrt 
101,dirgahayu thn dki jakarta sekarang jakarta punya mrt lrt terima kasih gubernur ahok btp 
102,pgn ke jakarta naik mrt 
103,nyobain mrt atau lrt tidak_perlu jauh ke negeri tetangga dki jakarta 
104, san mrt jakarta beroperasi normal
105, oh ya sama mrt jakarta beberapa kali diuntungkan dengan kehadiran untuk menerjang kemacetan dulu yang sering telat kalau janjian sekarang beberapa kali sampai pertama 
106, hallo selamat siang apakah hari ini mrt akan beroperasi seperti biasa terutama di stasiun bundaran hi khususnya sore nanti saat perayaan ultah jakarta
107,dirgahayu kota jakarta ke transjakarta gratis neh mrt gratis gk ya 
108,selamat berulang tahun kota kelahiran ku ini beberapa momentku kemarin naik mrt hihi trimakasih para pemimpin dki jakarta yg sudah membuat ibu kota negara kita semakin maju setiap tahunnya 
109,coba klo ada pacar disini uda pasti gue ajakin muter muter seluruh museum jakarta sambil naik mrt dan transjakarta gratisan lanjut malming di prj kemayoran makan bedua uwoo mantap kali kaaan mantap kali khayalannya v 
110,lahir sekolah kuliah kerja disana jaksel jakpus jakut jakbar hehe cm jaktim belum_tp tidak_ngerasain gojek sama mrt yg udah ada hmm pngen tinggal di jkt lg sih ada mungkin tunggu ganti gubernur x ya semakin aman dan nyaman ya jakarta 
111,selamat ulang tahun jakarta terimakasih transjakarta dan mrt gratisnya 
112,okay gue baru tau hari ini mrt gratis karena ulang taun jakarta tapi gue terlanjur janjian sama blue sekeluarga hari ini ok doain gue baik baik ya
113,selamat ulang tahun ibu kota senengnya hari ini naik transjakarta pun metrotrans gratiss lrt jg masih uji coba gratis mrt jg gratis tidak_ya nanti malem jg ada jakarta night festival di jantung kota so hv a blast wiken 
114,mumpung ke jakarta mau naik mrt norak bat dah gua 
115,mrt blom nyobaim lrt udah ada mulai aja apakah aku orang jakarta 
116, transjakarta mumpung lagi ultah jakarta usul dong min halte csw koridor dioperasikan jadi kalo mau naik mrt tidak_perlu ikut muter ke tendean blok m 
117,ultah jakarta tidak_ada yang gratisan gitu baik dari transportasi kayak mrt atau transjakarta sama tempat liburannya wahai bapak gubernur 
118,fbb rec tempat ngopi jakarta yang deket krl mrt yang sepi dong thanksss
119,oiya btw lrt jakarta tuh emang bener versi kecil dari segalanya di mrt termasuk eskalatornya yang muat buat orang 
120, terima kasih bertambah lagi referensi tahu campur di jakarta buat tombo kangen sudah nyobain tahu campurnya cuma sayang sudah kehabisan tahu tek telur memang betul lebih cepat sampai lokasi dengan keluar stasiun mrt fatmawati di exit c daripada exit d 
121, sksksk pengen nyoba mrt jakarta 
122,aku pulang naik mrt xixi berasa nax jakarta sekaly 
123,kira pemandangannya seperti ini guys di lt btw itu polusi ya bukan kabut ayo pake transportasi umum wahai warga jakarta udah enak juga ada transjakarta mrt lrt krl warga depok cant relate cr yg fotonya bagus berarti pake hp koy 
124,feelin this japan vibes already di mrt jakarta dengan penumpang yg memang menggunakannya bukan untuk rekreasi lol 
125,ratusan orang padati stasiun mrt dukuh atas serta terowongan kendal menyaksikan parade drum band asal inggris uk millitary musicians memperingati hut kota jakarta ke pada sabtu bak 
126,jakarta butuh tempat penitipan sepeda di stasiun mrt dan transjakarta 
127,kan w bilang ke mak mau keliling jakarta naek mrt trs doi bolein trs w tanya ntar kalo ilang gimana doi ngegas ngomong palingan minta jemput i mean wheres the lie maaf y mak anakmu masih teledor
128, bandung jakarta cuedek poll opomane maringene onok mrt hmm 
129,nggak kayak mrt bunderan hi lebak bulus yg heboh nyobain yg masih gratis ini cenderung sepi mungkin karena lokasi klp gading itu agak tidak_familiar sama org jakarta atau memang lagi weekdays aja tadi isinya ya ada ibu sama anaknya opa dan oma ajak jalan cucu
130,kalau tidak_kesampaian ke taman safari pengen muterin jakarta aja keliling pake mrt sampai kotu terus duduk dan jajan di taman kali besar itu sambil foto dan cerita lucu pengen banget sm pacar 
131,mrt jakarta masih jadi transportasi primadona buat orang jakarta maupun luar jakarta banyak yang sengaja datang hanya untuk punya pengalaman baru saya keluarga saudara dan teman pun tidak_mau ketinggalan 
132,baru engeh ternyata pekerjaan proyek yang selalu bikin macet di jalan tol jakarta cikampek itu jalur tol layang nah kirain buat jalur mrt lrt wqwq 
133, tunggu beberapa tahun kemudian kalo mrt dan lrt dah banyak dan didukung warga jakarta juga mau apa enggaknya make fasilitas tsb klo gamau yaa percuma tetep jadi kota berpolusi sedunia 
134, ulang taun dki jakarta mba klo naik mrt masih bisa koo
135,nail mrt di jakarta berasa turis di kota sendiri ini semua karena pacar saya 
136,warga jakarta bagian timur sepertinya banyak yang belom mencoba mrt seperti saya masih tetap bertahan dengan krl yg stasiunnya panas nye mantep dikit lagi gue dikira cina benteng fixxxx 
137, rain yusron padi jakarta ae sekalian nyobain mrt jakarta kan skrg udah kek di luar negeri jd cakep 
138,kereta api mrt jakarta pusat kartu mrt
139,biar kekinian kayak anak anak jakarta bodjo juga gakmau ketinggalan buat nyobaik naik mrt jakarta nih tapi kali ini seru banget karna sambil nyanyi nyanyi wohooo nonton selengkapnya di 
140,honda menikmati dampak positif mrt jakarta 
141,mrt lagi cuy pokoknya skrng kalo disuruh dines diseputaran jakarta kalo balik kantor kudu cari mrt karena stasiun nya depan kantor
142, mungkin mau panas panasan di jakarta cobain naik mrt di sini makan rujak abang abang depan halte busway 
143,jakarta opens an lrt line to go with its new mrt i don t care how short the line is any new public transport in traffic hell jkt is cause for celebration 
144,mrt jakarta mampu kurangi kendaraan pribadi 
145,pt mrt jakarta sudah mulai melakukan pembangunan infrastruktur angkutan transportasi berbasis rel moda raya terpadu mrt fase dua proyek tersebut akan menyambungkan stasiun bundaran hotel indonesia hi jakarta pusat hingga kawasan kota tua jakarta barat 
146, mending bandung jakarta pake mrt kalau udah jadi daripada kerumah doi 
147,kesimpulan nya sih mrt jakarta bener bener membuat wajah baru jakarta semoga pembangunan fase mrt jakarta dilancarkan dan bisa semakin banyak lagi rute nya semoga tetap selalu rapi dan bersih buat temen yang mau naik mrt jangan lupa di jaga ya 
148,nah selain stasiun nya yang keren mrt jakarta juga bikin suasana di sekitar stasiun jadi lebih rapih contoh nya gini ini trotoar yang ada di stasiun benhil gua jadi penasaran gimana suasana di setiap stasiun mrt jakarta ya baru di benhil aja gini apalagi yang di senayan dll 
149,abis nyoba mrt jakarta beberapa hari lalu dan jujur gua sangat amaze dengan mrt jakarta karena gara gara mrt jadi lumayan merubah wajah jakarta tidak_kalah kayak negara tetangga nah ini hasil gua iseng cekrek cekrek keadaan mrt jakarta cekidot 
150,bawa aku naik krl atau mrt abis itu keliling jakarta sampe kakiku capek dong
151, jabar mei yang penting bisa lihat jakarta dan mrt
152,antara terima apresiasi atas pemberitaan masif mrt jakarta 
153,semoga mrt jakarta bisa menjadi solusi bagi kemacetan ibu kota dan juga mampu berkontribusi utuk mengurangi polusi udara kami siap berpartisipasi untuk 
154,pln berpartisipasi dalam menjaga segala kebutuhan listrik berkualitas layanan listrik premium baik selama proses membangun hingga beroperasinya mrt jakarta apresiasi diberikan secara langsung oleh direktur utama mrt william sabandar 
155,acara tersebut ditujukan untuk mengapresiasi berbagai pihak atau mitra pendukung atas dukungannya sehingga mrt jakarta fase sukses beroperasi dalam kesempatan tersebut pln juga dapet pengahargaan loh guys 
156,setelah akhirnya berhasil merealisasikan impian warga jakarta untuk memilki saran transportasi masal yang baru mrt jakarta menggelar malam apresiasi mrt jakarta dan peringatan hut mrt jakarta ke di hotel le meridien pada rabu juni 
157,uji coba lrt jakarta setelah nyobain mrt bulan lalu skr dibuka uji coba lrt gratis mumpung ibu dari nganjuk ke jakarta makanya kita mau cobain lrt ini uji coba lrt jakarta juni gratis dg isi 
158,jalan dijkt sekarang tambah nyaman taman kota sudah tertata rapi mrt sangat nyaman untuk mau nguber waktu mari ciptakan linkungan jakarta yg kondusif adil makmur untuk semua lapisan klau bukan kita siapa lagi terimakasih gubenur maju kotanya maju indonesia
159, hari lagi hut jakarta apa sih hal yang paling dirindukan dari jakarta kalau irina dewi mrt layanan jasa online yang lengkap dan coffee shop 
160, jakarta bah lumayan naek mrt
161, jakarta ramai sampai macet mulu senang eh tapi sekarang udah ada mrt dooong 
162,mrt disini ama di jakarta beda yak disini rapih bener orang
163, belom terbiasa stigma yang nempel masih jelek mrt jakarta baru line line baru proses perencanaan generasi kita punya anak baru metro line jakarta kaya gitu wkwkwk
164, berapa lagi kerugian yang harus telan pembangunan mrt memang mahal tapi berjangka panjang kalian setuju untuk dipercepat guys 
165,sctv dan indosiar mendapat penghargaan dari pt mrt jakarta terkait pemberitaan mrt penghargaan ini sebagai apresiasi terhadap media yang ikut berperan memajukan transportasi di jakarta 
166,keren haha coba di mrt jakarta ada kyk gini yak heu 
167,mrt jakarta gandeng kpk di proyek fase apa saja yang dikawal 
168,cegah korupsi mrt jakarta gandeng kpk awasi proyek fase 
169,mrt jakarta beri apresiasi pada stakeholder dan media 
170,pertama nyoba mrt ma pacar di jakarta 
171, pagi ini mrt lebak bulus bundaranhi penuh banyak kelas middle up naik mrt berangkat kerja terlihat cukup berhasil dalam mengurangi pemakaian mobil di jakarta
172,cegah korupsi mrt jakarta gandeng kpk awasi proyek fase 
173,gubenur dki jakarta anies baswedan mengatakan moda raya terpadu mrt merupakan salah satu tulang punggung pilar penyambung seluruh moda transportasi umum di ibu kota 
174,kamu bisa berkontribusi mengurangi macet jakarta dengan mulai membiasakan menggunakan transportasi publik seperti transjakarta commuterline mrt hingga lrt yuk gunakan transportasi publik dari sekarang 
175, mrt jakarta mampu kurangi kendaraan pribadi perbaikan layanan transportasi 
176,yang selalu bully dan nyinyirin pak anies yang katanya tak ada prestasi main lah ke jakarta naik busway mrt lrt silakan ha 
177,apakah ada jakarta explorer di stasiun mrt senayan yg terdekat transjakarta
178, transjakarta kalau mau naik jakarta explorer mrt station terdekat apa ya 
179,ayo kita pacaran tapi aku ngapunya motor jadi kita keliling jakarta naik mrt saja
180, mrt jakarta apresiasi pemangku kepentingan 
181,lokasi nya ada di museum tekstil jakarta went there by tj dari tangerang lanjut pake mrt sampe bundaran hi sampe bundaran hi pake gocar cuman k ke museum nya
182,antara meraih apresiasi atas pemberitaan masif mrt jakarta 
183,pengguna mrt lampaui target anies berharap jakarta tidak_lagi macet 
184,mrt jakarta apresiasi pemangku kepentingan 
185,mama berarti kalo mau cari aman bagus sama yang adek mau unhas aja ya pa bapa iiiyaa gapapasih itu yg megang mrt di jakarta juga kan teknik sipil unhas tapi ya gitu jarang cewe cantik ya de hehehehe ketawa gede gua dalem hati nah inii hahahahaha 
186,antara raih apresiasi atas pemberitaan masif mrt jakarta 
187,yuk dengarkan pesan dari dirut mrt jakarta william sabandar kepada pendengar radio elshinta fam 
188, mau ke jakarta gue nyoba mrt 
189, bertepatan dengan hut ke pt mrt jakarta mengadakan malam apresiasi stakeholders pembangunan mrt jakarta fase lebak bulus bundaran hi yang digelar di hotel le meridien jakarta rabu malam fam 
190,malam apresiasi mrt jakarta 
191, hhhmm pdhl mrt jakarta hasil utang jg loh kok g dikritik yaa ups kan sejunjungan
192,dirut mrtjakarta william sabandar memberikan plakat apresiasi kepada radio elshinta atas kontribusi pembangunan mrt jakarta fase lebak bulus bundaran hi acara malam apresiasi mrt jakarta di le meridien jakarta rabu malam ale aniesbaswedan 
193,sekretaris kota jakarta barat eldi andi menghadiri malam apresiasi mrt jakarta yang dibuka oleh gubernur provinsi dki jakarta anies baswedan di sasono mulyo ballroom le meridien jakarta 
194,kami bangga karena banyak mendukung terjadinya mrt jkt hingga lancar jaya dan terpuji ada jpnambsindonesia yang jenaka ini pula le meridien jakarta 
195, transjakarta infonya dong apakah naik bus tj dari rwmangun ke halte dukuh atas sudah bisa lngsung akses ke mrt jakarta kah atau belum_
196, pls bgdddd mrt bandung jakarta dong harapan qtaahhhh
197,ternyata setelah diskon ongkos mrt dicabut penumpang tetap rame aja lho sampe sekarang 
198,jujur tidak_kapok naik transportasi publik lg seharian pulang pergi naik mrt metrotrans pedestrian walk nya nyaman sekali hehe selalu suka jakarta bagian sini 
199,mrt udh ada lrt juga udh ada kereta cepat jakarta bandung juga bakal ada ini gada yang mw buat kereta cepat kalideres sudirman apa 
200,fase mrt jakarta ditargetkan rampung pada 
201,nah lagi lagi nih mo ngingetin klo mesin otomatis di stasiun mrt bisa dimanfaatkan lho 
202,kereta api kartu mrt jakarta pusat tanggal berapa
203, ibukota pindah lrt mrt toll listrik dicabut semua dari jakarta
204, jakarta panas yang adem cuma didalam mrt saja 
205,hoy ang ganda ng mrt ng jakarta grabeeeee very singapore style kasi may pa gate kineso pa bago yung mismong train hahahahaha
206,kepada dinas tata kota jakarta tersayang tolong dong pedestrian stasiun mrt istora senayan dikasih penghijauan jangan aspal aja hari ini panas sekali dan orang orang yang jalan disana sangat kepanasan karena tidak_ada yang melindungi mereka saat berjalan 
207, nanti kalo ke jakarta main ke rm nusa indah di jl ahmad dahlan dekat mrt blok m kalau beruntung ada kiriman bolu meranti nyempil dengan oleh oleh lain
208, rencana pembangunan global sdgs masuk dalam pembangunan nasional salah satunya keberhasilan jakarta dalam memperbaiki sistem transportasi massal berupa mrt dapat mengurangi macet dan juga kebijakan ganjil genap kalian setuju 
209,lagi viral bau mrt jakarta tidak_enak entah bau ac campur keringet rang orang atau bau gerbongnya itu sendiri udara dr ac central baunya mirip di mrt singapore 
210,busway lrt mrt i love jakarta
211,kerja di jakarta dan indoor tidak_seburuk yang gue bayangkan dulu sangat terbantu oleh mrt dan tj buat transportasi kalo harus naik motor mah gue bakal mikir beberapa kali buat kerja di jakarta macet parah
212,mrt mampu kurangi penggunaan kendaraan pribadi 
213,mrt diprediksi bisa kurangi kendaraan pribadi 
214, id hai kak berikut kartu uang elektronik yang dapat digunakan untuk layanan mrt jakarta jaklingko e money brizzi tap cash flazz dan jakcard terima kasih
215, mrt aja belom pernah cobain malah lrt duluan lrt yang dulu jadi bahan keributan fakta yang gw baru tahu lrt jakarta ini ternyata beda sama lrt yang dari cibubur cawang kupikir sama 
216, ntar pajak kendaraan bermotor dinaikin protes harga bahan bakar dinaikin juga protes itu semua juga biar pengguna kendaraan pribadi berkurang biar pada pakai angkutan kota udah dibuat trans jakarta mrt dll 
