,Tweet,Hasil Preprocessing,Positif,Negatif,Sentimen,Numbered Sentimen
19,"Cobain rasanya naik MRT Jakarta, transportasi murah, cepat & aman nih guys..??????
https://t.co/3OGTfABhkW

#mrtjakarta #mrt #vlogger #vlogging #youtuber #mrt2019 #minggu #sabtu https://t.co/shBh4u5zas",cobain mrt jakarta transportasi murah cepat aman nih guys,3,0,positif,1
20,"Enak ya tinggal di Jakarta...
.
Bisa naik MRT.",enak ya tinggal jakarta mrt,1,0,positif,1
21,"Glenn Fredly dan Tompi hibur penumpang MRT di Stasiun Bundaran HI, Jakarta.

 #GlennFredly #Tompi #MRT https://t.co/kNJY7ij93p",glenn fredly tompi hibur penumpang mrt stasiun bundaran hi jakarta,1,0,positif,1
22,@danisahman Ohhh begitu. enak lah naik mrt terus. Jakarta mana boy,ohhh enak mrt jakarta boy,1,0,positif,1
23,"MRT Jakarta, Ketepatan Waktunya Mencapai 99,9 Persen  https://t.co/zi2W2PM6cr https://t.co/cqql4Y3zke",mrt jakarta ketepatan mencapai persen,1,0,positif,1
24,pengen naik mrt jakarta,pengen mrt jakarta,1,0,positif,1
25,"udah.. yg ada dulu disempurnain.. jalur lrt melingkari jakarta, mrt dr timur ke selatan tambah di kota2 besar kayak surabaya, belom lagi daerah wisata. https://t.co/LymmoRCS5j",udah disempurnain jalur lrt melingkari jakarta mrt dr timur selatan kota kayak surabaya belom daerah wisata,1,0,positif,1
26,Pencapaian jumlah penumpang itu menjadi tertinggi sejak diberlakukan tarif normal https://t.co/2MDfEf4Tgb,pencapaian penumpang tertinggi diberlakukan tarif normal,2,0,positif,1
27,"Jarang2 berani mengatur meeting di 3 tempat di Jakarta dalam sehari. Tapi karena semua lokasi dekat jalur MRT, jadi berani ??",jarang berani mengatur meeting jakarta sehari lokasi jalur mrt berani,2,0,positif,1
28,"Transportasi yang ada di DKI Jakarta dinilai sudah cukup lengkap, mulai dari mikrolet, bus Transjakarta, KRL hingga MRT. https://t.co/bYUEf0nfiH",transportasi dki jakarta dinilai lengkap mikrolet bus transjakarta krl mrt,1,0,positif,1
29,"Keren banget ya jakarta skrg. Mrt, lrt, bus listrik.",keren banget ya jakarta skrg mrt lrt bus listrik,1,0,positif,1
30,seneng juga sih ngeliat perkembangan jakarta! dulu jaman sma sering ke terminal blok m buat naik 74 dan ituu ya agak buruk sih ?? sekarang bnr2 udah deket stasiun MRT jadi fancy dan metromini juga udah jadi minitrans yang harusnya supirnya less ugal2an..,seneng sih ngeliat perkembangan jakarta jaman sma terminal blok m ituu ya buruk sih bnr udah deket stasiun mrt fancy metromini udah minitrans supirnya less ugal an,2,1,positif,1
31,Jalan-jalan di jakarta selatan semenjak ada mrt emang jadi lebih menyenangkan.,jalan jalan jakarta selatan semenjak mrt emang menyenangkan,1,0,positif,1
32,"dari HI masuk subway trus naek MRT berasa kyk New York, pas turun di Lebak Bulus berasa pen tereak ""anjeeng Jakarta lagi Jakarta lagi""",hi masuk subway trus naek mrt berasa kyk new york pas turun lebak bulus berasa pen tereak anjeeng jakarta jakarta,3,1,positif,1
33,Embargo minyak akan mendorong Tiongkok membangun infrastruktur dan kereta api super cepat. Kereta api super cepat dan MRT Jakarta connect maka bye bye plane jadi coffee cafe menu nasi goreng. Ada tulisan: ini menyangkut kedaulatan negara. Damai itu indah.,embargo minyak mendorong tiongkok membangun infrastruktur kereta api super cepat kereta api super cepat mrt jakarta connect bye bye plane coffee cafe menu nasi goreng tulisan kedaulatan negara damai indah,8,0,positif,1
34,Ada suasana berbeda di Stasiun MRT Dukuh Atas saat perayaan HUT DKI Jakarta ke-492. #WajahBaruJakarta https://t.co/mxLUj6XA7P,suasana berbeda stasiun mrt dukuh perayaan hut dki jakarta,1,0,positif,1
35,"@OrenBarat kasian ndan,  mereka belom liat jakarta yang baru.. yg udah ada mrt,lrt, monas makin menawan, eeh",kasian ndan belom liat jakarta udah mrt lrt monas menawan eeh,1,0,positif,1
36,LRT Jakarta yang seharusnya lebih kecil dan daya angkutnya lebih ringan memiliki lebar rel yang lebih besar daripada MRT. (1435 mm>1067 mm). Semua terserah yang teken kontrak~,lrt jakarta daya angkutnya ringan memiliki lebar rel mrt mm mm terserah teken kontrak,1,0,positif,1
37,Jakarta skarang udah maju ga perlulah kita ke singapura atau jepang krena kini ada MRT dengan rel terpadu menghubungi jalur jalur di kota mengurangi macet dan rupiah tidak lari kluar negeri?? https://t.co/YuRtsYbOqq,jakarta skarang udah maju tidak_perlulah singapura jepang krena mrt rel terpadu menghubungi jalur jalur kota mengurangi macet rupiah tidak_lari kluar negeri,3,1,positif,1
38,"Lihat jpo2 semakin cantik, trotoar buat pejalan kaki semakin kece, jakarta sekarang tampaknya sudah seperti kota2 dunia yg berpihak kepada pejalan kaki, walau gua kemana2 enakan naik motor haha. Ok trip - busway  - mrt - lrt - commuter line, grab gojek, integrasi yg ciamik sih.",lihat jpo cantik trotoar pejalan kaki kece jakarta kota dunia berpihak pejalan kaki gua kemana enakan motor haha ok trip busway mrt lrt commuter line grab gojek integrasi ciamik sih,4,1,positif,1
39,"Rindu banget dgn Jakarta dan segala kemajemukannya, rindu tiap hari naik TJ,KRL,MRT. Jajan cilok,cireng,cimol,makan ketoprak,kerak telor dll. 
Ah.. Jakarta, kota yg rada sumpek tp ngangenin.
Semoga tambah maju dibawah kepemimpinan pak @aniesbaswedan Insyaa Allah comeback soon. ?? https://t.co/mLM8Y5VSzD",rindu banget dgn jakarta kemajemukannya rindu tj krl mrt jajan cilok cireng cimol makan ketoprak kerak telor dll ah jakarta kota rada sumpek tp ngangenin semoga maju dibawah kepemimpinan insyaa allah comeback soon,4,0,positif,1
40,"Buat gw, yang udah pernah nyobain transportasi massal di HK, jepang, singapur dan korea, seneng dan bangga jakarta udah punya MRT ??
Kualitas sarana dan prasarana bagus, tepat waktu. Tapi..",gw udah nyobain transportasi massal hk jepang singapur korea seneng bangga jakarta udah mrt kualitas sarana prasarana bagus,3,0,positif,1
41,"Terimakasih @yemimasr dan amar sudah mau menemani malam minggu gua dan nyobain mrt,  hbd jakarta maap telat https://t.co/6XYksesNEF",terimakasih amar menemani malam minggu gua nyobain mrt hbd jakarta maap telat,1,0,positif,1
42,MRT jakarta bagus bgt.,mrt jakarta bagus bgt,1,0,positif,1
43,"HUT Jakarta is amazyng.. MRT yg biasanya macam kereta hantu jam segini, tiba2 ruwwame. Untung bkn jombi isinya :')",hut jakarta is amazyng mrt kereta hantu jam segini ruwwame untung bkn jombi isinya,1,0,positif,1
44,"Selamat Ulang Tahun kotaku Jakarta yang ke 492. Semakin maju,tertib,indah dan mensejahterakan warganya. Jakarta yang semakin asik dengan MRT,fasilitas umum tempat terbuka,tempat olahraga yang nyaman membuat wargaâ¦ https://t.co/BXrD4fGtAY",selamat ulang kotaku jakarta maju tertib indah mensejahterakan warganya jakarta asik mrt fasilitas terbuka olahraga nyaman warga,6,0,positif,1
45,Pengen ke jakarta pngen naik MRT :(,pengen jakarta pngen mrt,1,0,positif,1
46,"Pengen naik busway, pengen naik MRT, pengen CFD an lagi, pengen main ke planetarium sama ragunan juga dong:"" 
Rindu sekali sama suasana jakarta yg gak pernah sepi",pengen busway pengen mrt pengen cfd an pengen main planetarium ragunan rindu suasana jakarta tidak_pernah sepi,5,0,positif,1
47,Warga Pilih Shalat di Mushalla MRT Saat Perayaan HUT Jakarta https://t.co/OV1qndRHVg,warga pilih shalat mushalla mrt perayaan hut jakarta,1,0,positif,1
48,"Selamat UlangTahunKota Jakarta ke-492.Semoga semua permasalahan Jakarta segera terselesaikanTata Kota serta Pelayanan Publik lebih baik,Keamanan Kota tetap terjaga,dan LRT,MRT,dan Commuter Line,Transportasi Modern tsb Bisa mengurangi kemacetan . #HUTJakarta492  #HUTDKIJakarta https://t.co/L9474vJcaf",selamat ulangtahunkota jakarta semoga permasalahan jakarta terselesaikantata kota pelayanan publik keamanan kota terjaga lrt mrt commuter line transportasi modern tsb mengurangi kemacetan,4,1,positif,1
49,"Selamat Ulang Jakarta!
Semoga tak pernah lelah menjadi ibukota Indonesia.
â¢
â¢
â¢
â¢
â¢
â¢
â¢
Dan terima kasih untuk MRT nya.

#jakarta492 #capitalcity #neversleepcity #mrtjakarta #cyberpunk @ Jakarta https://t.co/706am6xwoQ",selamat ulang jakarta semoga lelah ibukota indonesia terima kasih mrt nya jakarta,2,1,positif,1
50,"makasi ya pap udh book makeupbyath kl gak gue hr ini gaakan keluar rumah, makan kimukatsu, beli bulu mata, naik mrt, merayakan ulang tahun jakarta, dan makan boba toast benedict?????????? #testimoni https://t.co/9mXDluqmwL",makasi ya pap udh book makeupbyath kl tidak_gue hr gaakan rumah makan kimukatsu beli bulu mata mrt merayakan ulang jakarta makan boba toast benedict,1,0,positif,1
51,"Selamat Ulang Tahun Jakarta
Kurang kurangin rusuhnya
Keren lho akhirnya kamu punya MRT
Mantap! Teruskan!",selamat ulang jakarta kurangin rusuhnya keren lho mrt mantap teruskan,3,0,positif,1
52,"Dapet voucher kereta, hotel, sama pesawat. Terus sampe sini busway, MRT, KRL lagi gratis karena ulang tahun jakarta.",dapet voucher kereta hotel pesawat sampe busway mrt krl gratis ulang jakarta,1,0,positif,1
53,"#WajahBaruJakarta

Mrt dan lrt  ahok dan jokowi  buat jakarta baru makin modern",mrt lrt ahok jokowi jakarta modern,1,0,positif,1
54,"@ManusiaEarth Ada beberapa booth yang ngasih merchandise gratis, misal booth MRT Jakarta (kipas & pin/stiker) dan booth bank partner (BNI, BRI) untuk pembuatan kartu kredit.

Yang di foto ini sih kebanyakan dari bank. Haha",booth ngasih merchandise gratis booth mrt jakarta kipas pin stiker booth bank partner bni bri pembuatan kartu kredit foto sih kebanyakan bank haha,1,0,positif,1
55,"Dirgahayu 492 th Jakarta. Jakarta akan tetap Jakarta walaupun pusat pemerintahan baru nanti dibangun di Palangkaraya. Jakarta hari ini sudah jauh lebih modern, asal jangan diacak-acak dgn visi yg ng jelas. Setelah MRT, tak lama lagi akan menikmati moda transportasi LRT Jabobek.",dirgahayu th jakarta jakarta jakarta pusat pemerintahan dibangun palangkaraya jakarta modern diacak acak dgn visi ng mrt menikmati moda transportasi lrt jabobek,2,1,positif,1
56,"??Naek MRT ke tengah kota.
Dirgahayu DKI Jakarta??.
Semoga terwujudnya wajah baru Jakarta yang modern dan berbudaya luhur. 
Maju Kotanya! Bahagia Warganya! https://t.co/9ivVPTjZpC",naek mrt kota dirgahayu dki jakarta semoga terwujudnya wajah jakarta modern berbudaya luhur maju kotanya bahagia warganya,5,0,positif,1
57,"Nyobain MRT atau LRT ga perlu jauh2 ke negeri tetangga

#ID #mrtjakarta #lrtjakarta #velodrome #kgstation #proudtobeindonesian @ DKI Jakarta https://t.co/kNTaEGoLef",nyobain mrt lrt tidak_perlu negeri tetangga dki jakarta,1,0,positif,1
58,@kakashi_san1189 MRT Jakarta beroperasi normal,san mrt jakarta beroperasi normal,1,0,positif,1
59,"@mrtjakarta Hallo selamat siang, apakah hari ini MRT akan beroperasi seperti biasa terutama di stasiun bundaran HI? Khususnya sore nanti saat perayaan ultah Jakarta",hallo selamat siang mrt beroperasi stasiun bundaran hi sore perayaan ultah jakarta,2,0,positif,1
60,Dirgahayu Kota Jakarta Ke 492. TransJakarta Gratis neh...MRT Gratis gk ya? ?????? https://t.co/r2btrsVy8Z,dirgahayu kota jakarta transjakarta gratis neh mrt gratis gk ya,2,0,positif,1
61,"selamat berulang tahun kota kelahiran ku?

ini beberapa momentku kemarin naik mrt hihi. trimakasih para pemimpin DKI Jakarta yg sudah membuat ibu kota negara kita semakin maju setiap tahunnya??????
#HUTJakarta492 #HUTJakarta #HUTDKIJakarta https://t.co/EY0GqjXCNS",selamat berulang kota kelahiran ku momentku kemarin mrt hihi trimakasih pemimpin dki jakarta kota negara maju tahunnya,2,0,positif,1
62,"Coba klo ada pacar disini, uda pasti gue ajakin muter-muter seluruh museum Jakarta sambil naik MRT dan Transjakarta gratisan lanjut malming di PRJ Kemayoran makan bedua. Uwoo mantap kali kaaan...

Mantap kali khayalannya :v
#HUTJakarta492",coba klo pacar uda gue ajakin muter muter museum jakarta mrt transjakarta gratisan malming prj kemayoran makan bedua uwoo mantap kali kaaan mantap kali khayalannya v,2,0,positif,1
63,"Lahir, sekolah, kuliah, kerja...disana (JakSel - JakPus - JakUt - JakBar hehe..cm JakTim belum) tp ga ngerasain gojek sama mrt yg udah ada... Hmm pngen tinggal di Jkt lg sih ada ^^ mungkin tunggu ganti gubernur x ya ???? semakin aman dan nyaman ya Jakarta ?? #HUTJakarta492 ??",lahir sekolah kuliah kerja disana jaksel jakpus jakut jakbar hehe cm jaktim belum_tp tidak_ngerasain gojek mrt udah hmm pngen tinggal jkt lg sih tunggu ganti gubernur x ya aman nyaman ya jakarta,2,0,positif,1
64,Selamat ulang tahun jakarta! Terimakasih transjakarta dan mrt gratisnya??,selamat ulang jakarta terimakasih transjakarta mrt gratisnya,2,0,positif,1
65,"okay gue baru tau hari ini MRT gratis karena ulang taun Jakarta, tapi gue terlanjur janjian sama @renata_blue19 sekeluarga hari ini ok doain gue baik-baik ya",okay gue tau mrt gratis ulang taun jakarta gue terlanjur janjian blue sekeluarga ok doain gue ya,1,0,positif,1
66,"selamat ulang tahun ibu kota! senengnya hari ini naik transjakarta pun metrotrans gratiss, lrt jg masih uji coba gratis, mrt jg gratis ga ya? nanti malem jg ada jakarta night festival di jantung kota.. so hv a blast wiken??????",selamat ulang kota senengnya transjakarta metrotrans gratiss lrt jg uji coba gratis mrt jg gratis tidak_ya malem jg jakarta night festival jantung kota so hv a blast wiken,4,0,positif,1
67,"@PT_TransJakarta mumpung lagi ultah jakarta, usul dong min, halte CSW koridor 13 dioperasikan, jadi kalo mau naik MRT gak perlu ikut muter ke Tendean - Blok M ??",transjakarta mumpung ultah jakarta usul min halte csw koridor dioperasikan kalo mrt tidak_perlu muter tendean blok m,1,0,positif,1
68,"@drhaltekehalte Terima kasih. Bertambah lagi referensi Tahu Campur di Jakarta buat âtombo kangenâ. Sudah nyobain Tahu Campurnya cuma sayang sudah kehabisan Tahu Tek Telur. Memang betul, lebih cepat sampai lokasi dengan keluar Stasiun MRT Fatmawati di Exit C daripada Exit D. #darihaltekehalte ?? https://t.co/i6nsHDnElY",terima kasih bertambah referensi campur jakarta tombo kangen nyobain campurnya sayang kehabisan tek telur cepat lokasi stasiun mrt fatmawati exit c exit d,3,0,positif,1
69,@babycioo sksksk pengen nyoba mrt Jakarta ????,sksksk pengen nyoba mrt jakarta,1,0,positif,1
70,aku pulang naik mrt xixi berasa nax jakarta sekaly https://t.co/UjoohWGxaM,pulang mrt xixi berasa nax jakarta sekaly,1,0,positif,1
71,"Feelin this Japan vibes already di MRT Jakarta, dengan penumpang yg memang menggunakannya bukan untuk rekreasi lol https://t.co/f9ybDo1U5Q",feelin this japan vibes already mrt jakarta penumpang menggunakannya rekreasi lol,1,0,positif,1
72,"Nggak kayak MRT Bunderan HI - Lebak Bulus yg heboh. Nyobain @lrtjkt yg masih gratis ini cenderung sepi. Mungkin karena lokasi Klp Gading itu agak nggak familiar sama org2 Jakarta, atau memang lagi weekdays aja. Tadi isinya ya ada ibu2 sama anaknya, opa2 dan oma ajak jalan cucu",nggak kayak mrt bunderan hi lebak bulus heboh nyobain gratis cenderung sepi lokasi klp gading tidak_familiar org jakarta weekdays aja isinya ya anaknya opa oma ajak jalan cucu,1,0,positif,1
73,"Kalau ngga kesampaian ke taman safari, pengen muterin jakarta aja keliling pake mrt sampai kotu, terus duduk dan jajan di taman kali besar itu sambil foto2 dan cerita lucu. Pengen. Banget. Sm pacar??",tidak_kesampaian taman safari pengen muterin jakarta aja keliling pake mrt kotu duduk jajan taman kali foto cerita lucu pengen banget sm pacar,3,0,positif,1
74,"Nail MRT di jakarta, berasa turis di kota sendiri. ini semua karena pacar saya:)",nail mrt jakarta berasa turis kota pacar,1,0,positif,1
75,"Warga jakarta bagian timur sepertinya banyak yang belom mencoba MRT, seperti saya. Masih tetap bertahan dengan KRL yg stasiunnya panas nye mantep. Dikit lagi gue dikira cina benteng fixxxx.",warga jakarta timur belom mencoba mrt bertahan krl stasiunnya panas nye mantep dikit gue cina benteng fixxxx,1,0,positif,1
76,"@rifanikunafir @D__Rain_ @HajrahDouboegis @Ayu02Basuki @MSApunya @RM_Yusron @dewo_padi08 @individumerd @UllbimaNtb @HPurwanto231 @sindusindoro @ImauKampe @JeffryAlvaro86 Jakarta ae, sekalian nyobain MRT, Jakarta kan skrg udah kek di luar negeri, jd cakep ??????",rain yusron padi jakarta ae nyobain mrt jakarta skrg udah kek negeri jd cakep,1,0,positif,1
77,"Biar kekinian kayak anak-anak Jakarta, BODJO juga gakmau ketinggalan buat nyobaik naik MRT Jakarta nih! Tapi kali ini, seru banget karna sambil nyanyi-nyanyi, wohooo~ Nonton selengkapnya di: https://t.co/wHmUlcIARb",biar kekinian kayak anak anak jakarta bodjo gakmau ketinggalan nyobaik mrt jakarta nih kali seru banget karna nyanyi nyanyi wohooo nonton selengkapnya,2,1,positif,1
78,"Honda Menikmati Dampak Positif MRT https://t.co/GxgOOZjVMO, Jakarta   https://t.co/vzkqEYpANy",honda menikmati dampak positif mrt jakarta,2,1,positif,1
79,@Iovexpaint mungkin mau panas panasan di jakarta. cobain naik mrt di sini. makan rujak abang abang depan halte busway.,panas panasan jakarta cobain mrt makan rujak abang abang halte busway,1,0,positif,1
80,MRT Jakarta Mampu Kurangi 5.600 Kendaraan Pribadi #InfoKRL #InfoMRT #InfoLRT #Infocommuter https://t.co/RtBnzvzPI8 https://t.co/YepioIeKYc,mrt jakarta kurangi kendaraan pribadi,1,0,positif,1
81,"PT MRT Jakarta sudah mulai melakukan pembangunan infrastruktur angkutan transportasi berbasis rel Moda Raya Terpadu (MRT) fase dua. Proyek tersebut akan menyambungkan Stasiun Bundaran Hotel Indonesia (HI) Jakarta Pusat hingga kawasan Kota Tua, Jakarta Barat.? https://t.co/xljyzPxUaM",pt mrt jakarta pembangunan infrastruktur angkutan transportasi berbasis rel moda raya terpadu mrt fase proyek menyambungkan stasiun bundaran hotel indonesia hi jakarta pusat kawasan kota tua jakarta barat,2,0,positif,1
82,"Kesimpulan nya sih, MRT Jakarta bener bener membuat wajah baru Jakarta.

Semoga Pembangunan Fase 2 MRT Jakarta dilancarkan dan bisa semakin banyak lagi rute nya. 

semoga @mrtjakarta tetap selalu rapi dan bersih, buat temen2 yang mau naik MRT jangan lupa di jaga ya!",kesimpulan nya sih mrt jakarta bener bener wajah jakarta semoga pembangunan fase mrt jakarta dilancarkan rute nya semoga rapi bersih temen mrt lupa jaga ya,4,1,positif,1
83,"nah selain stasiun nya yang keren,MRT Jakarta juga bikin suasana di sekitar stasiun jadi lebih rapih contoh nya gini, ini trotoar yang ada di stasiun benhil.

gua jadi penasaran gimana suasana di setiap stasiun MRT Jakarta ya, baru di benhil aja gini apalagi yang di Senayan dll. https://t.co/cWiKPBC48l",stasiun nya keren mrt jakarta bikin suasana stasiun rapih contoh nya gini trotoar stasiun benhil gua penasaran gimana suasana stasiun mrt jakarta ya benhil aja gini senayan dll,4,0,positif,1
84,"Abis nyoba MRT Jakarta beberapa hari lalu, dan jujur gua sangat amaze dengan MRT Jakarta, karena gara-gara MRT jadi lumayan merubah wajah Jakarta gak kalah kayak negara2 tetangga.

nah ini hasil gua iseng cekrek cekrek keadaan MRT Jakarta, Cekidot. https://t.co/sNJc8LSqLW",abis nyoba mrt jakarta jujur gua amaze mrt jakarta gara gara mrt lumayan merubah wajah jakarta tidak_kalah kayak negara tetangga hasil gua iseng cekrek cekrek mrt jakarta cekidot,4,0,positif,1
85,ANTARA terima apresiasi atas pemberitaan masif MRT Jakarta https://t.co/gSBh0Xmoqf,terima apresiasi pemberitaan masif mrt jakarta,1,0,positif,1
86,Semoga MRT Jakarta bisa menjadi solusi bagi kemacetan Ibu Kota dan juga mampu berkontribusi utuk mengurangi polusi udara. Kami siap berpartisipasi untuk #JakartaKianBenderang ?? https://t.co/aQhW30vOTX,semoga mrt jakarta solusi kemacetan kota berkontribusi utuk mengurangi polusi udara berpartisipasi,3,2,positif,1
87,"PLN berpartisipasi dalam menjaga segala kebutuhan listrik berkualitas layanan listrik premium baik selama proses membangun hingga beroperasinya MRT Jakarta. Apresiasi diberikan secara langsung oleh Direktur Utama MRT, William Sabandar. https://t.co/9OobXzZBFz",pln berpartisipasi menjaga kebutuhan listrik berkualitas layanan listrik premium proses membangun beroperasinya mrt jakarta apresiasi langsung direktur utama mrt william sabandar,4,0,positif,1
88,"Acara tersebut ditujukan untuk mengapresiasi berbagai pihak atau mitra pendukung atas dukungannya sehingga MRT Jakarta Fase 1 sukses beroperasi. Dalam kesempatan tersebut, PLN juga dapet pengahargaan loh guys!",acara mengapresiasi mitra pendukung dukungannya mrt jakarta fase sukses beroperasi kesempatan pln dapet pengahargaan loh guys,1,0,positif,1
89,"Setelah akhirnya berhasil merealisasikan impian warga Jakarta untuk memilki saran transportasi masal yang baru, MRT Jakarta menggelar Malam Apresiasi MRT Jakarta dan Peringatan HUT MRT Jakarta ke-11 di Hotel Le Meridien pada Rabu, 19 Juni 2019.",berhasil merealisasikan impian warga jakarta memilki saran transportasi masal mrt jakarta menggelar malam apresiasi mrt jakarta peringatan hut mrt jakarta hotel le meridien rabu juni,2,1,positif,1
90,"Uji coba LRT Jakarta ????

Setelah nyobain MRT bulan lalu, skr dibuka uji Coba LRT gratis. Mumpung ibu dari Nganjuk ke Jakarta makanya kita mau cobain LRT ini ????

Uji Coba LRT Jakarta 11-22 Juni 2019 gratis dg isi... https://t.co/DCrvXwblnC",uji coba lrt jakarta nyobain mrt skr dibuka uji coba lrt gratis mumpung nganjuk jakarta cobain lrt uji coba lrt jakarta juni gratis dg isi,2,0,positif,1
